År;Hela landet;Västernorrland;Östergötland
1975;331;196;291
1976;332;192;271
1977;371;195;316
1978;364;193;288
1979;364;219;291
1980;385;201;281
1981;380;195;276
1982;434;216;300
1983;444;232;303
1984;467;273;325
1985;484;318;315
1986;495;337;324
1987;518;364;369
1988;557;398;409
1989;593;378;435
1990;612;431;449
1991;605;384;496
1992;665;418;564
1993;732;492;696
1994;743;461;755
1995;751;537;689
1996;745;600;671
1997;773;599;708
1998;802;564;716
1999;866;673;818
2000;855;702;785
2001;881;761;742
2002;890;864;768
2003;935;931;863
2004;957;912;899
2005;1043;987;975
2006;1081;1063;1046
2007;1144;1098;1115
2008;1176;1081;1103
2009;1201;1139;1128
2010;1208;1156;1124
2011;1236;1177;1118
